,overall_run_index,simulation_run_index,consumer_index,utility
1334,0,34,1,-0.22946071538846435
1335,0,35,1,-0.23242601911230668
1336,0,36,1,0.6631194013760262
1337,0,37,1,-0.1685104851789881
1338,0,38,1,-0.1414589243031233
1339,0,39,1,0.6748963110288748
1340,0,40,1,-0.24164866011709366
1341,0,41,1,-0.15153211928718774
1342,0,42,1,-0.22337738032433535
1343,0,43,1,0.6608540201148065
1344,0,44,1,-0.19966306062930247
1345,0,45,1,0.6484949295765648
1346,0,46,1,0.6930677806119587
1347,0,47,1,-0.19966306062930247
1348,0,48,1,-0.15153211928718774
1349,0,49,1,0.5405867481320512
1350,0,0,2,0.7682052648541569
1351,0,1,2,0.5058645865867502
1352,0,2,2,-0.22337738032433535
1353,0,3,2,-0.12774242129418523
1354,0,4,2,-0.12870863683138273
1355,0,5,2,0.6566875818709439
1356,0,6,2,-0.1895245402337662
1357,0,7,2,-0.21553773711996602
1358,0,8,2,0.6608540201148065
1359,0,9,2,0.8082001509018889
1360,0,10,2,0.7666156525037475
1361,0,11,2,0.8172575730908259
1362,0,12,2,0.6543833152948402
1363,0,13,2,0.6566875818709439
1364,0,14,2,-0.24164866011709366
1365,0,15,2,-0.1685104851789881
1366,0,16,2,0.6912593410952952
1367,0,17,2,0.7289102325119543
1368,0,18,2,-0.16424686375388156
1369,0,19,2,0.6608540201148065
1370,0,20,2,-0.14342794263432945
1371,0,21,2,0.8172575730908259
1372,0,22,2,-0.1895245402337662
1373,0,23,2,-0.29467839713191657
1374,0,24,2,-0.19966306062930247
1375,0,25,2,0.6161379169680982
1376,0,26,2,0.7143649463962592
1377,0,27,2,0.7035463638230766
1378,0,28,2,0.5119048106771361
1379,0,29,2,0.5295232812691535
1380,0,30,2,0.6664626612537535
1381,0,31,2,0.6124161598665409
1382,0,32,2,0.7143649463962592
1383,0,33,2,0.7682052648541569
1384,0,34,2,-0.23242601911230668
1385,0,35,2,0.7666156525037475
1386,0,36,2,0.769873601652904
1387,0,37,2,0.7666156525037475
1388,0,38,2,-0.26305786506076734
1389,0,39,2,-0.12774242129418523
1390,0,40,2,0.8082001509018889
1391,0,41,2,0.6664626612537535
1392,0,42,2,0.5058645865867502
1393,0,43,2,0.7666156525037475
1394,0,44,2,-0.25144286218176315
1395,0,45,2,0.6608540201148065
1396,0,46,2,0.7289102325119543
1397,0,47,2,0.6748963110288748
1398,0,48,2,0.565420094302723
1399,0,49,2,-0.2605807462312959
1400,0,0,3,-0.24164866011709366
1401,0,1,3,0.564938385071555
1402,0,2,3,0.6178673649639395
1403,0,3,3,0.769873601652904
1404,0,4,3,0.6161379169680982
1405,0,5,3,0.769873601652904
1406,0,6,3,0.6161379169680982
1407,0,7,3,0.7035463638230766
1408,0,8,3,0.6673653572919317
1409,0,9,3,0.6178673649639395
1410,0,10,3,0.7035463638230766
1411,0,11,3,-0.22337738032433535
1412,0,12,3,0.6930677806119587
1413,0,13,3,0.6920893185251078
1414,0,14,3,0.5632079195423079
