,overall_run_index,simulation_run_index,consumer_index,utility
0,0,0,0,0.7649599297971739
1,0,1,0,0.6098823830533994
2,0,2,0,-0.12375149092645801
3,0,3,0,0.6134381979898422
4,0,4,0,-0.11034175942938321
5,0,5,0,0.7442937995607604
6,0,6,0,-0.12375149092645801
7,0,7,0,0.586195265748918
8,0,8,0,0.6406249767822443
9,0,9,0,0.7407673785996004
10,0,10,0,0.6637468399260985
11,0,11,0,-0.23588573854993247
12,0,12,0,-0.14432208793356466
13,0,13,0,0.7614256811650248
14,0,14,0,0.6000518263128733
15,0,15,0,0.6637468399260985
16,0,16,0,-0.16924738605225997
17,0,17,0,0.6098823830533994
18,0,18,0,-0.295906288643645
19,0,19,0,0.6712650262412766
20,0,20,0,-0.1443916267801723
21,0,21,0,0.7649599297971739
22,0,22,0,0.7442937995607604
23,0,23,0,0.6406249767822443
24,0,24,0,0.7663246080239425
25,0,25,0,0.6406249767822443
26,0,26,0,0.549704687602426
27,0,27,0,0.8086939484231607
28,0,28,0,0.7141979250814035
29,0,29,0,0.5646387315295331
30,0,30,0,0.6384428723691746
31,0,31,0,0.6381126450046994
32,0,32,0,0.7614256811650248
33,0,33,0,-0.1353761706617301
34,0,34,0,0.7663246080239425
35,0,35,0,0.6717869379658689
36,0,36,0,-0.184240348194803
37,0,37,0,0.7649599297971739
38,0,38,0,0.7614256811650248
39,0,39,0,0.5840985317976556
40,0,40,0,0.8545773316423997
41,0,41,0,-0.20807159568295236
42,0,42,0,0.6384428723691746
43,0,43,0,0.586195265748918
44,0,44,0,0.7262806056462511
45,0,45,0,-0.23588573854993247
46,0,46,0,-0.2669349045519255
47,0,47,0,0.6384428723691746
48,0,48,0,0.6963651585025354
49,0,49,0,0.6658964602784794
50,0,0,1,0.7649599297971739
51,0,1,1,0.7614256811650248
52,0,2,1,0.7262806056462511
53,0,3,1,0.8545773316423997
54,0,4,1,0.6406249767822443
55,0,5,1,0.6381126450046994
56,0,6,1,-0.19076973241944006
57,0,7,1,0.6637468399260985
58,0,8,1,-0.11501626454800128
59,0,9,1,-0.19670225396719782
60,0,10,1,0.7716286564867452
61,0,11,1,0.7252691554475803
62,0,12,1,0.7716286564867452
63,0,13,1,0.5646387315295331
64,0,14,1,0.7252691554475803
65,0,15,1,0.549704687602426
66,0,16,1,0.6361963449131671
67,0,17,1,0.6381126450046994
68,0,18,1,0.7614381647320865
69,0,19,1,-0.13406227617511626
70,0,20,1,0.6000518263128733
71,0,21,1,0.7614381647320865
72,0,22,1,0.6308356372318548
73,0,23,1,-0.1353761706617301
74,0,24,1,0.6637468399260985
75,0,25,1,0.7649599297971739
76,0,26,1,0.6164511393277357
77,0,27,1,-0.295906288643645
78,0,28,1,-0.13473795852659812
79,0,29,1,-0.2751620684218279
80,0,30,1,-0.28556869500374127
81,0,31,1,-0.2766340170787215
82,0,32,1,0.6381126450046994
83,0,33,1,0.7357649493009303
84,0,34,1,0.7649599297971739
85,0,35,1,0.5432815948010072
86,0,36,1,0.6381126450046994
87,0,37,1,-0.2766340170787215
88,0,38,1,0.586195265748918
89,0,39,1,0.7614256811650248
90,0,40,1,0.6000518263128733
91,0,41,1,0.6578853802604725
92,0,42,1,-0.14756322034969574
93,0,43,1,0.6712650262412766
94,0,44,1,0.6308356372318548
95,0,45,1,-0.12302850235201507
96,0,46,1,0.6310636450945439
97,0,47,1,0.6712650262412766
98,0,48,1,-0.10524913083059839
99,0,49,1,0.6717869379658689
100,0,0,2,0.6310636450945439
101,0,1,2,-0.2755065153059295
102,0,2,2,-0.13473795852659812
103,0,3,2,0.7614256811650248
104,0,4,2,0.6637468399260985
105,0,5,2,0.7161747014281566
106,0,6,2,-0.14756322034969574
107,0,7,2,0.6712650262412766
108,0,8,2,0.6310636450945439
109,0,9,2,-0.19670225396719782
110,0,10,2,0.7161747014281566
111,0,11,2,0.549704687602426
112,0,12,2,0.6134381979898422
113,0,13,2,-0.10524913083059839
114,0,14,2,-0.2731175183400937
115,0,15,2,0.6381126450046994
116,0,16,2,0.741054594739796
117,0,17,2,0.741054594739796
118,0,18,2,0.6112550841820902
119,0,19,2,0.8545773316423997
120,0,20,2,0.6658964602784794
121,0,21,2,0.6310636450945439
122,0,22,2,-0.16924738605225997
123,0,23,2,0.7834975001546185
124,0,24,2,0.7357649493009303
125,0,25,2,0.6308356372318548
126,0,26,2,0.7649599297971739
127,0,27,2,0.6658964602784794
128,0,28,2,0.7407673785996004
129,0,29,2,-0.10524913083059839
130,0,30,2,0.7663246080239425
131,0,31,2,-0.12302850235201507
132,0,32,2,-0.2669349045519255
133,0,33,2,0.7834975001546185
134,0,34,2,0.7716286564867452
135,0,35,2,0.7213187410698856
136,0,36,2,-0.1443916267801723
137,0,37,2,0.781210879618243
138,0,38,2,0.549704687602426
139,0,39,2,0.7252691554475803
