,overall_run_index,simulation_run_index,consumer_index,mae
0,0,0,0,0.05923805009471632
1,0,1,0,0.05883246494275024
2,0,2,0,0.05865608395756722
3,0,3,0,0.05853596600472173
4,0,4,0,0.058398525910969085
5,0,5,0,0.058416911232067735
6,0,6,0,0.058344272824520683
7,0,7,0,0.05829487767665116
8,0,8,0,0.05824109882097286
9,0,9,0,0.05816222607106632
10,0,10,0,0.0598576225594757
11,0,11,0,0.060114032815885954
12,0,12,0,0.06033381303566618
13,0,13,0,0.060524289226142364
14,0,14,0,0.06069095589280902
15,0,15,0,0.06083801471633844
16,0,16,0,0.060968733670586805
17,0,17,0,0.06108569273491429
18,0,18,0,0.061190955892809026
19,0,19,0,0.06128619398804714
20,0,20,0,0.061372774074627205
21,0,21,0,0.0614518254580264
22,0,22,0,0.061524289226142344
23,0,23,0,0.061590955892809024
24,0,24,0,0.06165249435434749
25,0,25,0,0.06170947441132755
26,0,26,0,0.061762384464237596
27,0,27,0,0.06181164554798144
28,0,28,0,0.061857622559475696
29,0,29,0,0.06190063331216386
30,0,30,0,0.06194095589280902
31,0,31,0,0.06197883468068781
32,0,32,0,0.06201448530457375
33,0,33,0,0.06204809874995188
34,0,34,0,0.061524289226142365
35,0,35,0,0.06156933427118742
36,0,36,0,0.06161200852438798
37,0,37,0,0.061652494354347505
38,0,38,0,0.061690955892809034
39,0,39,0,0.0617275412586627
40,0,40,0,0.061762384464237596
41,0,41,0,0.061795607055599736
42,0,42,0,0.06182731952917267
43,0,43,0,0.061857622559475696
44,0,44,0,0.06188660806672207
45,0,45,0,0.06191436014812817
46,0,46,0,0.06194095589280904
47,0,47,0,0.06196646609689067
48,0,48,0,0.06199095589280905
49,0,49,0,0.06201448530457375
