,overall_run_index,simulation_run_index,consumer_index,mae
2041,0,41,0,0.25266107133669863
2042,0,42,0,0.2524082907502477
2043,0,43,0,0.2660903864985515
2044,0,44,0,0.25249011510020997
2045,0,45,0,0.25228944620388893
2046,0,46,0,0.27123421769325884
2047,0,47,0,0.2530847699688918
2048,0,48,0,0.2529088375269495
2049,0,49,0,0.25274791798671964
2050,0,0,1,0.7832164719335852
2051,0,1,1,0.760547046228284
2052,0,2,1,0.7805458121598523
2053,0,3,1,0.7730401917271007
2054,0,4,1,0.7494996886521881
2055,0,5,1,0.7733546770488503
2056,0,6,1,0.6837844819244471
2057,0,7,1,0.6906402294814491
2058,0,8,1,0.7416133351567117
2059,0,9,1,0.6867449185963489
2060,0,10,1,0.6791691610205913
2061,0,11,1,0.6797433597420676
2062,0,12,1,0.6756942657964452
2063,0,13,1,0.6780752181773976
2064,0,14,1,0.6945356929091162
2065,0,15,1,0.6805920930862253
2066,0,16,1,0.6816425132542925
2067,0,17,1,0.6824141181925641
2068,0,18,1,0.6905470857390079
2069,0,19,1,0.6890859739998578
2070,0,20,1,0.6890660087226449
2071,0,21,1,0.7274719409252985
2072,0,22,1,0.682231834101672
2073,0,23,1,0.7096297172312557
2074,0,24,1,0.7127942173285337
2075,0,25,1,0.6861332542054904
2076,0,26,1,0.685084174902108
2077,0,27,1,0.6893957036332603
2078,0,28,1,0.6881145593864944
2079,0,29,1,0.6857562557699766
2080,0,30,1,0.7041808389503061
2081,0,31,1,0.6866754305877685
2082,0,32,1,0.6869640308763688
2083,0,33,1,0.6872091289155844
2084,0,34,1,0.6899583742990967
2085,0,35,1,0.691959100821258
2086,0,36,1,0.7042580614913532
2087,0,37,1,0.6880486313114114
2088,0,38,1,0.6882162197142938
2089,0,39,1,0.6909357316620601
2090,0,40,1,0.6884251822792729
2091,0,41,1,0.7113767878273672
2092,0,42,1,0.6880846618277772
2093,0,43,1,0.7100209750463848
2094,0,44,1,0.7038830478993594
2095,0,45,1,0.6882298531031917
2096,0,46,1,0.7087819946337625
2097,0,47,1,0.6881145444575424
2098,0,48,1,0.688271530328814
2099,0,49,1,0.688413980471264
2100,0,0,2,0.7606231829605075
2101,0,1,2,0.6917498841060821
2102,0,2,2,0.5154431944534767
2103,0,3,2,0.5514234705107622
2104,0,4,2,0.5059725829982672
2105,0,5,2,0.5107648553447648
2106,0,6,2,0.5155267601066695
2107,0,7,2,0.51850295058286
2108,0,8,2,0.520487077566987
2109,0,9,2,0.5218759664558759
2110,0,10,2,0.568395059297738
2111,0,11,2,0.5369342637384865
2112,0,12,2,0.5274673896278439
2113,0,13,2,0.5719181563182271
2114,0,14,2,0.53103683467993
2115,0,15,2,0.5899071600978288
2116,0,16,2,0.526421094343395
2117,0,17,2,0.5686572009139255
2118,0,18,2,0.5653876505295936
2119,0,19,2,0.534201269891328
2120,0,20,2,0.5347245561288999
2121,0,21,2,0.5351574565618004
2122,0,22,2,0.5600189179212778
2123,0,23,2,0.5365405730073342
2124,0,24,2,0.5400816129503981
2125,0,25,2,0.5369595722811624
2126,0,26,2,0.560374472753481
2127,0,27,2,0.5373886196148561
2128,0,28,2,0.541029021865273
2129,0,29,2,0.5381078837845804
2130,0,30,2,0.5684368322467417
2131,0,31,2,0.5544049228145853
2132,0,32,2,0.5387395228314847
2133,0,33,2,0.5658348892775453
2134,0,34,2,0.5379827281464935
2135,0,35,2,0.5382232283869937
2136,0,36,2,0.5384368807745591
2137,0,37,2,0.5370306206351649
2138,0,38,2,0.5413164936445267
2139,0,39,2,0.5386548740131132
2140,0,40,2,0.5616064865930471
2141,0,41,2,0.5385908403688014
2142,0,42,2,0.5387564800693249
2143,0,43,2,0.5537271307703789
2144,0,44,2,0.5599994546565568
2145,0,45,2,0.5422437202859731
2146,0,46,2,0.5391392353664733
2147,0,47,2,0.539282913527393
2148,0,48,2,0.5394145790968466
2149,0,49,2,0.5444554888643459
2150,0,0,3,0.6031158001366934
2151,0,1,3,0.39075342833426585
2152,0,2,3,0.3978882256509368
2153,0,3,3,0.5044022431499288
2154,0,4,3,0.42249576328849114
2155,0,5,3,0.49087794091429027
2156,0,6,3,0.4228117603838177
2157,0,7,3,0.4475558500541591
2158,0,8,3,0.4273542775148724
2159,0,9,3,0.42886902613356376
2160,0,10,3,0.49050513115123395
2161,0,11,3,0.4395609237739251
2162,0,12,3,0.43443271864572
2163,0,13,3,0.4310313581015023
2164,0,14,3,0.4286504057205499
2165,0,15,3,0.4779696723646426
2166,0,16,3,0.46221861951440985
2167,0,17,3,0.43603304352265837
2168,0,18,3,0.47227531803847067
2169,0,19,3,0.43951182391511556
2170,0,20,3,0.4397280307842806
2171,0,21,3,0.4383561503345765
2172,0,22,3,0.4634032410422352
2173,0,23,3,0.4351902106435725
2174,0,24,3,0.46327842242080003
2175,0,25,3,0.43931097345476317
2176,0,26,3,0.4386055060826291
2177,0,27,3,0.43801026798739107
2178,0,28,3,0.43750316859591026
2179,0,29,3,0.44347151607110824
2180,0,30,3,0.4372740218878574
2181,0,31,3,0.436908524811834
2182,0,32,3,0.43818528266891166
2183,0,33,3,0.46196972865287256
2184,0,34,3,0.4384487214976592
2185,0,35,3,0.4381480961970339
2186,0,36,3,0.4431548209838699
2187,0,37,3,0.4570461503969067
2188,0,38,3,0.4555148218208396
2189,0,39,3,0.44566379731961936
2190,0,40,3,0.4592567221150888
2191,0,41,3,0.440353408206044
2192,0,42,3,0.4397284552640391
2193,0,43,3,0.44011193200281656
2194,0,44,3,0.43990680379768843
2195,0,45,3,0.4397209992640578
2196,0,46,3,0.43955213739306825
2197,0,47,3,0.45705522536219023
2198,0,48,3,0.4389847430755109
2199,0,49,3,0.45616508008427276
2200,0,0,4,0.6007609636478844
2201,0,1,4,0.6118187744497705
2202,0,2,4,0.4832794012826576
2203,0,3,4,0.4685625489780377
2204,0,4,4,0.4728434273680403
2205,0,5,4,0.5554692767536685
2206,0,6,4,0.5455122729939825
2207,0,7,4,0.5560076789797391
2208,0,8,4,0.5085134311605785
2209,0,9,4,0.4918467644939117
2210,0,10,4,0.5618039295424749
2211,0,11,4,0.5452472131649538
2212,0,12,4,0.505227166810536
2213,0,13,4,0.5458658238917992
2214,0,14,4,0.5381862497566718
2215,0,15,4,0.5171350872005183
2216,0,16,4,0.5173311443684439
2217,0,17,4,0.5078867200061437
